ObjectID,Session_Name,Timestamp,Latitude,Longitude,Temperatura,PM1,PM10,PM2.5,Humedad
171,panamericana_moto_juliana,2019-11-26T08:03:50.067,3.3591459,-76.5236121,,,,27,
172,panamericana_moto_juliana,2019-11-26T08:03:51.088,3.3591512,-76.5236428,,,,27,
173,panamericana_moto_juliana,2019-11-26T08:03:52.047,3.3591567,-76.5236797,,,,26,
174,panamericana_moto_juliana,2019-11-26T08:03:53.126,3.3591567,-76.5236797,,,,25,
175,panamericana_moto_juliana,2019-11-26T08:03:54.091,3.3591516,-76.5237615,,,,25,
176,panamericana_moto_juliana,2019-11-26T08:03:55.072,3.3591516,-76.5237615,,,,25,
177,panamericana_moto_juliana,2019-11-26T08:03:56.065,3.3591402,-76.5238275,,,,23,
178,panamericana_moto_juliana,2019-11-26T08:03:57.065,3.3591402,-76.5238129,,,,23,
179,panamericana_moto_juliana,2019-11-26T08:03:58.057,3.3591394,-76.5238392,,,,22,
180,panamericana_moto_juliana,2019-11-26T08:03:59.059,3.3591408,-76.5238665,,,,22,
181,panamericana_moto_juliana,2019-11-26T08:04:00.107,3.3591408,-76.5238665,,,,21,
182,panamericana_moto_juliana,2019-11-26T08:04:01.064,3.3591435,-76.5238866,,,,21,
183,panamericana_moto_juliana,2019-11-26T08:04:02.087,3.3591451,-76.5238928,,,,21,
184,panamericana_moto_juliana,2019-11-26T08:04:03.095,3.359142,-76.5238945,,,,19,
185,panamericana_moto_juliana,2019-11-26T08:04:04.044,3.3591473,-76.523905,,,,19,
186,panamericana_moto_juliana,2019-11-26T08:04:05.095,3.3591473,-76.523905,,,,19,
187,panamericana_moto_juliana,2019-11-26T08:04:06.105,3.3592324,-76.5239256,,,,19,
188,panamericana_moto_juliana,2019-11-26T08:04:07.089,3.3592324,-76.5239256,,,,20,
189,panamericana_moto_juliana,2019-11-26T08:04:08.073,3.3593653,-76.5239398,,,,21,
190,panamericana_moto_juliana,2019-11-26T08:04:09.110,3.3593653,-76.5239398,,,,22,
191,panamericana_moto_juliana,2019-11-26T08:04:10.042,3.3595113,-76.5239588,,,,23,
192,panamericana_moto_juliana,2019-11-26T08:04:11.064,3.359594,-76.5239687,,,,24,
193,panamericana_moto_juliana,2019-11-26T08:04:12.088,3.359594,-76.5239687,,19.0,,25,
194,panamericana_moto_juliana,2019-11-26T08:04:13.053,3.3597596,-76.5239842,,,,25,
195,panamericana_moto_juliana,2019-11-26T08:04:14.114,3.3598418,-76.5239944,,,,25,
196,panamericana_moto_juliana,2019-11-26T08:04:15.081,3.3598418,-76.5239944,,,,27,
197,panamericana_moto_juliana,2019-11-26T08:04:16.087,3.3600062,-76.5240118,,,,27,
198,panamericana_moto_juliana,2019-11-26T08:04:17.088,3.3600062,-76.5240118,,,51.0,28,
199,panamericana_moto_juliana,2019-11-26T08:04:18.113,3.3601699,-76.5240305,,,52.0,29,
200,panamericana_moto_juliana,2019-11-26T08:04:19.088,3.3601699,-76.5240305,,,,28,
201,panamericana_moto_juliana,2019-11-26T08:04:20.094,3.3603429,-76.5240271,,,,28,
202,panamericana_moto_juliana,2019-11-26T08:04:21.079,3.3603429,-76.5240271,,,,27,
203,panamericana_moto_juliana,2019-11-26T08:04:22.102,3.3605158,-76.5239972,,,50.0,27,
204,panamericana_moto_juliana,2019-11-26T08:04:23.085,3.360606,-76.5239955,,,48.0,27,
205,panamericana_moto_juliana,2019-11-26T08:04:24.110,3.3606978,-76.5240051,,,,27,
206,panamericana_moto_juliana,2019-11-26T08:04:25.077,3.3606978,-76.5240051,,,,26,
207,panamericana_moto_juliana,2019-11-26T08:04:26.118,3.3608748,-76.5240223,,,,25,
208,panamericana_moto_juliana,2019-11-26T08:04:27.071,3.3609638,-76.5240317,,,,24,
209,panamericana_moto_juliana,2019-11-26T08:04:28.101,3.3609638,-76.5240317,,,,25,
210,panamericana_moto_juliana,2019-11-26T08:04:29.076,3.361129,-76.5240549,,,,28,
211,panamericana_moto_juliana,2019-11-26T08:04:30.085,3.3612163,-76.5240657,,,,29,
212,panamericana_moto_juliana,2019-11-26T08:04:31.081,3.3612163,-76.5240657,,,,29,
213,panamericana_moto_juliana,2019-11-26T08:04:32.087,3.3613779,-76.5240857,,,55.0,30,
214,panamericana_moto_juliana,2019-11-26T08:04:33.097,3.3614556,-76.5240977,,,,33,
215,panamericana_moto_juliana,2019-11-26T08:04:34.087,3.3614556,-76.5240977,,,,34,
216,panamericana_moto_juliana,2019-11-26T08:04:35.101,3.3616078,-76.5241118,,,,35,
217,panamericana_moto_juliana,2019-11-26T08:04:36.058,3.3616846,-76.5241193,,,,36,
218,panamericana_moto_juliana,2019-11-26T08:04:37.088,3.3616846,-76.5241193,,,,36,
219,panamericana_moto_juliana,2019-11-26T08:04:38.099,3.3618299,-76.5241219,,,,35,
220,panamericana_moto_juliana,2019-11-26T08:04:39.065,3.3618299,-76.5241219,,,,35,
221,panamericana_moto_juliana,2019-11-26T08:04:40.101,3.3619704,-76.5240979,,,,35,
222,panamericana_moto_juliana,2019-11-26T08:04:41.084,3.3620385,-76.5240859,,,,35,
223,panamericana_moto_juliana,2019-11-26T08:04:42.103,3.3620385,-76.5240859,,,,34,
224,panamericana_moto_juliana,2019-11-26T08:04:43.087,3.3621657,-76.52408,,,,33,
225,panamericana_moto_juliana,2019-11-26T08:04:44.087,3.3621657,-76.52408,,,,33,
226,panamericana_moto_juliana,2019-11-26T08:04:45.060,3.3622775,-76.5240796,,,,33,
227,panamericana_moto_juliana,2019-11-26T08:04:46.091,3.3622775,-76.5240796,,,,33,
228,panamericana_moto_juliana,2019-11-26T08:04:47.099,3.362396,-76.5240828,,,,31,
229,panamericana_moto_juliana,2019-11-26T08:04:48.114,3.3624589,-76.5240838,,,,31,
230,panamericana_moto_juliana,2019-11-26T08:04:49.075,3.3625156,-76.5240831,,,,34,
231,panamericana_moto_juliana,2019-11-26T08:04:50.101,3.3625156,-76.5240831,,,,36,
232,panamericana_moto_juliana,2019-11-26T08:04:51.114,3.3626148,-76.5240967,,,,36,
233,panamericana_moto_juliana,2019-11-26T08:04:52.051,3.3626703,-76.5241004,,,,36,
234,panamericana_moto_juliana,2019-11-26T08:04:53.099,3.3627299,-76.5241019,,,,36,
235,panamericana_moto_juliana,2019-11-26T08:04:54.088,3.3627299,-76.5241019,,,,40,
236,panamericana_moto_juliana,2019-11-26T08:04:55.095,3.3628439,-76.5241019,,,,39,
237,panamericana_moto_juliana,2019-11-26T08:04:56.098,3.3628439,-76.5241019,,,,40,
238,panamericana_moto_juliana,2019-11-26T08:04:57.061,3.3629653,-76.5241006,,,,38,
239,panamericana_moto_juliana,2019-11-26T08:04:58.121,3.363031,-76.5241063,,,,37,
240,panamericana_moto_juliana,2019-11-26T08:04:59.084,3.3630929,-76.5241104,,,58.0,31,
241,panamericana_moto_juliana,2019-11-26T08:05:00.080,3.3631583,-76.5241151,,,,31,
242,panamericana_moto_juliana,2019-11-26T08:05:01.071,3.3632176,-76.5241155,,,,30,
243,panamericana_moto_juliana,2019-11-26T08:05:02.084,3.3632176,-76.5241155,,,,30,
244,panamericana_moto_juliana,2019-11-26T08:05:03.089,3.3633049,-76.5241178,,,,30,
245,panamericana_moto_juliana,2019-11-26T08:05:04.088,3.3633049,-76.5241178,,,,30,
246,panamericana_moto_juliana,2019-11-26T08:05:05.073,3.3634034,-76.5241133,,,,29,
247,panamericana_moto_juliana,2019-11-26T08:05:06.084,3.3634034,-76.5241133,,,,27,
248,panamericana_moto_juliana,2019-11-26T08:05:07.086,3.3634777,-76.5241081,,,,27,
249,panamericana_moto_juliana,2019-11-26T08:05:08.080,3.3634777,-76.5241081,,,,26,
250,panamericana_moto_juliana,2019-11-26T08:05:09.119,3.3635615,-76.5241136,,,,26,
251,panamericana_moto_juliana,2019-11-26T08:05:10.080,3.3635615,-76.5241136,,,,26,
252,panamericana_moto_juliana,2019-11-26T08:05:11.081,3.3636372,-76.5241228,,,,26,
253,panamericana_moto_juliana,2019-11-26T08:05:12.071,3.3636614,-76.524125,,,,25,
254,panamericana_moto_juliana,2019-11-26T08:05:13.072,3.3636614,-76.524125,,,37.0,24,
255,panamericana_moto_juliana,2019-11-26T08:05:14.104,3.3636847,-76.5241204,,,37.0,25,
256,panamericana_moto_juliana,2019-11-26T08:05:15.096,3.3636992,-76.5241147,,,,25,
257,panamericana_moto_juliana,2019-11-26T08:05:16.105,3.3636992,-76.5241147,,,,24,
258,panamericana_moto_juliana,2019-11-26T08:05:17.077,3.3637112,-76.5240984,,,,25,
259,panamericana_moto_juliana,2019-11-26T08:05:18.082,3.3637112,-76.5240984,,,,25,
260,panamericana_moto_juliana,2019-11-26T08:05:19.073,3.3637456,-76.5240782,,,,25,
261,panamericana_moto_juliana,2019-11-26T08:05:20.089,3.3637456,-76.5240782,,,,25,
262,panamericana_moto_juliana,2019-11-26T08:05:21.073,3.3637797,-76.5240688,,20.0,,24,
263,panamericana_moto_juliana,2019-11-26T08:05:22.072,3.3638006,-76.5240658,,,,24,
264,panamericana_moto_juliana,2019-11-26T08:05:23.086,3.3638334,-76.5240654,,,,25,
265,panamericana_moto_juliana,2019-11-26T08:05:24.080,3.3638334,-76.5240654,,,45.0,25,
266,panamericana_moto_juliana,2019-11-26T08:05:25.088,3.3639181,-76.5240742,,,,25,
267,panamericana_moto_juliana,2019-11-26T08:05:26.095,3.3639687,-76.5240832,,,,26,
268,panamericana_moto_juliana,2019-11-26T08:05:27.090,3.3639687,-76.5240832,,,45.0,26,
269,panamericana_moto_juliana,2019-11-26T08:05:28.074,3.3640452,-76.524097,,,,27,
270,panamericana_moto_juliana,2019-11-26T08:05:29.067,3.3640942,-76.5241098,,,,27,
271,panamericana_moto_juliana,2019-11-26T08:05:30.098,3.3640942,-76.5241098,,,,27,
272,panamericana_moto_juliana,2019-11-26T08:05:31.082,3.364192,-76.5241387,,,47.0,27,
273,panamericana_moto_juliana,2019-11-26T08:05:32.100,3.3642444,-76.5241524,,,,27,
274,panamericana_moto_juliana,2019-11-26T08:05:33.095,3.3642444,-76.5241524,,,,27,
275,panamericana_moto_juliana,2019-11-26T08:05:34.104,3.3643288,-76.5241696,,,,27,
276,panamericana_moto_juliana,2019-11-26T08:05:35.084,3.3643733,-76.5241804,,,49.0,29,
277,panamericana_moto_juliana,2019-11-26T08:05:36.051,3.3643733,-76.5241804,,,,29,
278,panamericana_moto_juliana,2019-11-26T08:05:37.099,3.3644326,-76.5241959,,,,29,
279,panamericana_moto_juliana,2019-11-26T08:05:38.085,3.3645104,-76.5242209,,,,28,
280,panamericana_moto_juliana,2019-11-26T08:05:39.077,3.3645525,-76.5242332,,,,28,
281,panamericana_moto_juliana,2019-11-26T08:05:40.089,3.3645903,-76.5242464,,,,29,
282,panamericana_moto_juliana,2019-11-26T08:05:41.099,3.3646279,-76.5242598,,,49.0,29,
283,panamericana_moto_juliana,2019-11-26T08:05:42.097,3.3646279,-76.5242598,,,,29,
284,panamericana_moto_juliana,2019-11-26T08:05:43.024,3.3646829,-76.5242799,,25.0,,29,
285,panamericana_moto_juliana,2019-11-26T08:05:44.071,3.3647355,-76.5242982,,,,29,
286,panamericana_moto_juliana,2019-11-26T08:05:45.111,3.3647643,-76.5243088,,,,28,
